relationship,x_metric,y_metric,model,prototype_type,distance,n,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,deepconvnet,confidence_weighted,cosine,1440,0.4284009288630925,2.3759709644887685e-65,0.38097938314878266,5.900585101287094e-51,0.4038156657391778,-0.011250706951121792,0.1835273558507605
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,eegnet,confidence_weighted,cosine,1440,0.44702666718848966,1.1439102267172227e-71,0.39757781283721405,9.910657211501162e-56,0.41898043784867844,-0.01692217901137047,0.19983284117764874
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,fbcnet,confidence_weighted,cosine,1440,0.2058845798977822,3.0057566064022697e-15,0.13821048136548958,1.398442099954597e-07,0.19037954294021983,0.040366647551481394,0.042388460239686274
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,ALL,confidence_weighted,cosine,4320,0.3679945123620909,1.2028991732901827e-138,0.31621709616843324,6.309518878932356e-101,0.33034946649072994,0.002207561478431652,0.13541996112861276
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,deepconvnet,confidence_weighted,euclidean,1440,0.4301089373268152,6.498650371204707e-66,0.3845904528697654,5.693578661660746e-52,0.4041874353705805,-0.011848125693248668,0.18499369796840234
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,eegnet,confidence_weighted,euclidean,1440,0.447063489973094,1.1104737633810418e-71,0.4012289544440666,8.101935837858472e-57,0.4147635450161791,-0.01685751732820552,0.19986576406692289
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,fbcnet,confidence_weighted,euclidean,1440,0.1859709967994036,1.1345462728779187e-12,0.08508771210660782,0.0012296571700741055,0.17899182867679858,0.04221041426682744,0.0345852116505638
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,ALL,confidence_weighted,euclidean,4320,0.3616642410789047,1.2124646338192695e-133,0.3071673171313334,4.69462785471996e-95,0.32248378889243723,0.0028353341401946147,0.13080102327518042
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,deepconvnet,correct_only,cosine,1429,0.43087768141929217,1.1235010281307897e-65,0.3845375180547181,1.4263732811265423e-51,0.40514517390795163,-0.011540752681571079,0.185655576345265
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,eegnet,correct_only,cosine,1431,0.45533568639946187,3.682723525940838e-74,0.408190788914221,1.4271191227363178e-58,0.4287103413549063,-0.01858860068548089,0.20733058730886925
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,fbcnet,correct_only,cosine,1395,0.19174784741025053,5.106977121226688e-13,0.1099546717514175,3.862125252626852e-05,0.17129176332943083,0.044519362812186325,0.03676723698646472
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,ALL,correct_only,cosine,4255,0.3672531480292923,5.251499971616213e-136,0.3131997855526854,1.7424383368910382e-97,0.32777332708159945,0.0026468031930578506,0.13487487473742535
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,deepconvnet,correct_only,euclidean,1429,0.43158754374158337,6.558640549052068e-66,0.38644915189467677,4.127492657552455e-52,0.4044827201976717,-0.011790853906248136,0.18626780791289305
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,eegnet,correct_only,euclidean,1431,0.4564924273271156,1.4187336837549051e-74,0.41331419244584944,3.7840858886393597e-60,0.424753689948669,-0.018461248990870913,0.20838533620700211
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,fbcnet,correct_only,euclidean,1395,0.1781958474848273,2.0374573084406017e-11,0.08034764314777387,0.0026722139259004792,0.16537769692096874,0.04434697827913307,0.03175376006083584
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,ALL,correct_only,euclidean,4255,0.3623155280132202,3.661619318252999e-132,0.30773743099285006,5.192033992050373e-94,0.3208209274929362,0.0030143831302736485,0.13127254183949863
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,deepconvnet,label_based,cosine,1440,0.43000854575336167,7.014637493391726e-66,0.38214072809624994,2.790574164709979e-51,0.40525803645433034,-0.011406094893748914,0.184907349420921
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,eegnet,label_based,cosine,1440,0.4527893618963381,1.0537597880541362e-73,0.40401579804425514,1.1730106249581081e-57,0.4256415584125886,-0.01844465395976609,0.20501820624649295
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,fbcnet,label_based,cosine,1440,0.20287662029552767,7.670404470752821e-15,0.13296660386025796,4.108809437598887e-07,0.18739018085597023,0.04151202017838135,0.04115892306253572
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,ALL,label_based,cosine,4320,0.36948296901102984,7.7136601897118045e-140,0.31818990026061805,3.10816149368208e-102,0.33159235475273796,0.0019592566718532878,0.13651766438920562
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,deepconvnet,label_based,euclidean,1440,0.43025605713832815,5.809997626559682e-66,0.3834739696422231,1.1768736750293333e-51,0.4047311404301505,-0.011527798265459105,0.1851202747042203
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,eegnet,label_based,euclidean,1440,0.4554941099806428,1.131695178850833e-74,0.41076306062874995,1.0089936093478895e-59,0.423947717249716,-0.01902002176182667,0.20747488422705795
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,fbcnet,label_based,euclidean,1440,0.1886645421713152,5.275287964599724e-13,0.09527393323992339,0.0002940453924356078,0.18173339815600578,0.04114891262217783,0.03559430947271197
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,ALL,label_based,euclidean,4320,0.3651326035706355,2.2714298079936364e-136,0.31261091699900995,1.4604113319925045e-98,0.3258298968634449,0.001997757782856796,0.133321818190271
