model,protocol,subject,session,train_session,test_session,seed,fold,n_train,n_val,n_test,best_epoch,accuracy,balanced_accuracy,macro_f1,auc,nll,brier,ece
deepconvnet,cross_session,sub-002,,ses-03,ses-02,4,,80,20,95,1,0.536842,0.532580,0.442964,0.602837,1.275164,0.536475,0.139244
deepconvnet,cross_session,sub-002,,ses-03,ses-04,4,,80,20,100,1,0.450000,0.450000,0.448622,0.464000,0.702842,0.509614,0.083836
deepconvnet,cross_session,sub-002,,ses-03,ses-05,4,,80,20,95,1,0.494737,0.480257,0.348571,0.544809,0.835864,0.585294,0.223293
deepconvnet,cross_session,sub-002,,ses-04,ses-01,4,,80,20,92,21,0.543478,0.543478,0.542614,0.520321,4.248401,0.802314,0.374929
deepconvnet,cross_session,sub-002,,ses-04,ses-02,4,,80,20,95,21,0.652632,0.651596,0.648739,0.725177,1.671114,0.569115,0.270129
deepconvnet,cross_session,sub-002,,ses-04,ses-03,4,,80,20,100,21,0.570000,0.561823,0.557203,0.562826,2.706514,0.779469,0.373809
deepconvnet,cross_session,sub-002,,ses-04,ses-05,4,,80,20,95,21,0.600000,0.596273,0.592367,0.682786,3.096619,0.744695,0.367573
deepconvnet,cross_session,sub-002,,ses-05,ses-01,4,,76,19,92,17,0.532609,0.532609,0.532111,0.525520,1.849230,0.729271,0.305208
deepconvnet,cross_session,sub-002,,ses-05,ses-02,4,,76,19,95,17,0.568421,0.571365,0.533477,0.645833,1.337401,0.639808,0.261604
deepconvnet,cross_session,sub-002,,ses-05,ses-03,4,,76,19,100,17,0.520000,0.523083,0.519808,0.544761,1.037857,0.651437,0.260962
deepconvnet,cross_session,sub-002,,ses-05,ses-04,4,,76,19,100,17,0.540000,0.540000,0.516604,0.560000,1.018167,0.649825,0.257755
deepconvnet,cross_session,sub-003,,ses-01,ses-02,4,,73,19,100,15,0.490000,0.490000,0.483753,0.543200,0.962024,0.640593,0.263905
deepconvnet,cross_session,sub-003,,ses-01,ses-03,4,,73,19,92,15,0.510870,0.510875,0.510812,0.504965,1.850438,0.722317,0.329590
deepconvnet,cross_session,sub-003,,ses-01,ses-04,4,,73,19,100,15,0.560000,0.560000,0.476190,0.563600,0.850082,0.595241,0.216197
deepconvnet,cross_session,sub-003,,ses-01,ses-05,4,,73,19,100,15,0.520000,0.520000,0.376299,0.541200,0.910185,0.660434,0.290019
deepconvnet,cross_session,sub-003,,ses-02,ses-01,4,,80,20,92,6,0.445652,0.454545,0.426055,0.433239,1.568126,0.825826,0.372828
deepconvnet,cross_session,sub-003,,ses-02,ses-03,4,,80,20,92,6,0.510870,0.504255,0.456907,0.498345,1.908666,0.828929,0.405020
deepconvnet,cross_session,sub-003,,ses-02,ses-04,4,,80,20,100,6,0.540000,0.540000,0.539816,0.592400,0.742447,0.529529,0.159022
deepconvnet,cross_session,sub-003,,ses-02,ses-05,4,,80,20,100,6,0.610000,0.610000,0.603296,0.585600,0.805296,0.547151,0.158583
deepconvnet,cross_session,sub-003,,ses-03,ses-01,4,,73,19,92,1,0.489130,0.507576,0.390557,0.404830,0.695389,0.502241,0.020586
deepconvnet,cross_session,sub-003,,ses-03,ses-02,4,,73,19,100,1,0.500000,0.500000,0.333333,0.593600,0.692719,0.499572,0.007214
deepconvnet,cross_session,sub-003,,ses-03,ses-04,4,,73,19,100,1,0.500000,0.500000,0.333333,0.524000,0.693152,0.500005,0.007110
deepconvnet,cross_session,sub-003,,ses-03,ses-05,4,,73,19,100,1,0.500000,0.500000,0.333333,0.447200,0.693240,0.500093,0.007203
